İstanbul;(7. Yarış Günü);10/12/2025
1. Kosu :   14.00;ŞARTLI 4/DHÖ; 4 Yaşlı Araplar; 58.00kg; 1400m; Kum;;;;Rekor Derece :1.33.65
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)63.000 TL;2.)25.200 TL;3.)12.600 TL;4.)6.300 TL;5.)3.150 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;BENDENİZ KG SK GKR;4y a  a;ÖZGÜNHAN;ARCİVAN;61;A.YILDIZ;MEHMET KAHRAMAN;E.ÇUKURKAŞ;8 - DS;;71;Ç7S2Ç3Ç1Ç7K0;10;18;1:38.14
2;BERTUĞHAN KG DB SK;4y k  a;YILMABAŞAR;DEVIRAL;58;A.MEH.ALTIN AP;HIDIR TAŞDEMİR;E.USLU;4;;63;K3K1K1K1K3K5;9;18;1:36.47
3;ERSELAY KG DB SK;4y k  a;TAMERİNOĞLU;FERAH TAY;61;SAL.ÇELİK;ERDEM BEKMEZCİ;SER.YILDIZ;7;;58;Ç5Ç1Ç3S4Ç3S6;15;16;1:37.09
4;SAFDERUN OĞLU KG K DB;4y a  a;DİLİRAN;TUMBUL YAPRAK;58;M.KEÇECİ AP;AHMET ALTIN;H.ALTIN;5;;65;K9K6K6K5S7K5;47;13;1:37.47
5;DELİ MESUT KG DB SK;4y d  a;LİDERTAY;TEKFORD FEYZA;58;E.ÇANKAYA;İZZETTİN SUNKAR;B.TANRIKULU;2;;63;K6K4K4K6K2K9;10;14;1:37.93
6;EGELİ EFE KG SK GKR;4y a  a;YAKUPBEY;DİYARKIZI;58;B.AKÇAY;SİNAN SADIK BİÇER;HÜS.KARABULUT;1;;32;K0K0Ç6K6K3K6;5;7;1:43.23
7;KIZIL ZEYNA KG K DB;4y k k;SAADIN GÜCÜ;ELMASBİKE;56;A.KAÇMAZ;CEM KUTER;S.ÇİFTÇİ;3;;47;S9S0S8Ç6K1K7;7;19;1:37.45
8;İMZA BENİM DB;4y k  a;HALİÇ;BEYHAN SULTAN;57;S.KAYA;GAZEL KAYA;S.AYDOĞAN;6;;39;K6-K7S1S4K0;5;18;1:44.51
1. 6'LI GANYAN Bu koşudan başlar;1. ÇİFTE Bu koşudan başlar;GANYAN;SABİT GANYAN;İKİLİ;SIRALI İKİLİ;SABİT İKİLİ

2. Kosu :   14.30;ŞARTLI 5; 3 Yaşlı İngilizler; 58.00kg; 1400m; Kum;;;;Rekor Derece :1.24.58
İkramiye;;;;;Yetiştirici Primi;;;;
1.)450.000 TL;2.)180.000 TL;3.)90.000 TL;4.)45.000 TL;5.)22.500 TL;1.)81.000 TL;2.)32.400 TL;3.)16.200 TL;4.)8.100 TL;5.)4.050 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;CATALYST K DB;3y a  e;APPROVE (IRE);MY KONOS;60;S.KAYA;İSA YÜKSEL;KAD.BALTACI;4;;71;K6K4K3K3K1S5;12;19;
2;CUCURELLA K SKG;3y a  e;GOOD CURRY;DAYLIGHT;57;E.BOZDAĞ AP;İSMAİL HADİOĞLU;O.ALTUNTAŞ;2;;58;S2S3S5S1Ç7K0;14;18;
3;ALASER K;3y d  e;KLUGER (JPN);RIVER OF LOVE;58;G.ÖZÇELİK;H.TURGUT ALAKUŞ;T.ŞİT;6;;46;S3Ç4Ç5Ç4S3Ç4;159;17;
4;BODE A WINNER K SK;3y d  d;BODEMEISTER (USA);SAILINGINFORTHEWIN (USA);58;A.YILDIZ;CEM DİLER;S.BAŞOĞLU;7;;71;S6K1K6K6K4S5;28;16;1:28.51
5;HERE TO GO DB SK;3y d  e;HERE TO FLY;NO MORE STRIKE;58;M.M.BİLGİN;NEVZAT SEYOK;M.AKKILIÇ;1;;46;Ç1Ç2Ç5Ç3S4S6;131;16;
6;HERKHAN STAR SK;3y k  d;NATIVE KHAN (FR);HERRING;55;M.KEÇECİ AP;İ.ŞAFAK ÜÇÜNCÜOĞLU;İ.Ş.ÜÇÜNCÜOĞLU;3;;70;S5S1S2S5Ç7K7;14;16;1:30.80
7;IRON POWER K DB;3y d  e;MARCAVELLY (USA);BEEONIC;56;V.ABİŞ;HATİCE DEMİR;Ö.GÜNELİ;8 - DS;;66;S2S7S6K1S6K1;18;20;1:26.15
8;PAREZKAR K;3y a  e;KANEKO;MISSY FRANKLIN;54;B.AKÇAY;BEYZA ARSLANCA;MAH.BAYKARA;5;;;;;20;
1. 5'Lİ GANYAN;2. ÇİFTE Bu koşudan başlar;GANYAN;SABİT GANYAN;İKİLİ;SIRALI İKİLİ;SABİT İKİLİ;ÜÇLÜ BAHİS;PLASE

3. Kosu :   15.00;ŞARTLI 4; 2 Yaşlı İngilizler; 57.00kg; 1400m; Kum;;;;Rekor Derece :1.24.58
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)105.000 TL;2.)42.000 TL;3.)21.000 TL;4.)10.500 TL;5.)5.250 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
