Şanlıurfa;(6. Yarış Günü);10/12/2025
1. Kosu :   17.45;Handikap 15 /H3; 3 Yaşlı İngilizler; kg; 2100m; Kum;;;;Rekor Derece :2.13.86
İkramiye;;;;;Yetiştirici Primi;;;;
1.)250.000 TL;2.)100.000 TL;3.)50.000 TL;4.)25.000 TL;5.)12.500 TL;1.)45.000 TL;2.)18.000 TL;3.)9.000 TL;4.)4.500 TL;5.)2.250 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;SUPERSON KG;3y d  e;MORE THAN A GAME (USA);SEVDİK;60,5;M.ŞAKİR AP;MEHMET AÇIKGÖZ;M.E.SARIDAL;1;;51;K6K4K0K0K4K3;8;13;2:45.66
2;INFORMACTION KG SK;3y d  e;MYBOYCHARLIE (IRE);CHARDONNAY;61;A.AKDEMİR;MAHMUT KARAKEÇİ;Z.AKDEMİR;6;;48;K5K1K6K2K5K2;9;18;
3;TU Y YO KG DB SK;3y d  d;TRAPPE SHOT (USA);AMBERİM;58;M.IŞIK AP;ABDULHAMİT YARDIMCI;EY.YARDIMCI;5;;46;K0K4K0K4K1K5;9;19;
4;TAHİRBEYLİ DB;3y a  e;KANEKO;ESCLARMONDE (IRE);57;M.E.DOĞAN;MEHMET ŞENBAHAR;H.ÇALI;3;;40;K8K9K6K3K6K3;9;11;
5;HOT SUGAR SK;3y a  e;HOT CHOCOLATE;SUGAR FOOT;56,5;B.BEKTAŞ;SONGÜL YILDIRIM;M.E.SARIDAL;8;;39;K1K7K3K4K2K4;9;17;
6;BLACK STONE DB SKG SK;3y a  e;VOODOO SONG (USA);PRENSES MELEK;55,5;A.H.BAYAR;MEHMET ÇİZİK;T.ÇİZİK;2;;37;K4Ç4K2Ç4K2K6;8;17;
7;ART LEGEND DB SK;3y d  e;BLUEGRASS CAT (USA);VICTORY LEGEND (IRE);54,5;N.ALTIN;MEHMET DEMİR;MEH.ALTIN;9;;35;K5K8K1K0Ç0K0;23;17;
8;RIO THE GLORY KG DB SK;3y a  e;CAPTAIN RIO (GB);SPEAK ME SOFTLY;54;F.YARDIMCI;ABDULLAH TEKİNALP;Ö.GÜNDÜZ;7;;34;K6K8K0K9K5K6;7;12;
9;SAKLIKAPI KG DB SK;3y a  d;AUTHORIZED (IRE);İSMETİNKIZI;53;B.SARIDAL AP;ALİ ŞAHİN;T.TAHTA;4;;32;K2K3K3K3K6K3;7;16;
1. 6'LI GANYAN Bu koşudan başlar;1. ÇİFTE Bu koşudan başlar;GANYAN;SABİT GANYAN;İKİLİ;SIRALI İKİLİ;SABİT İKİLİ

2. Kosu :   18.30;Handikap 15/DHÖW/Dişi /H3; 4 Yaşlı Araplar; kg; 1800m; Kum;;;;Rekor Derece :2.04.78
İkramiye;;;;;Yetiştirici Primi;;;;
1.)250.000 TL;2.)100.000 TL;3.)50.000 TL;4.)25.000 TL;5.)12.500 TL;1.)45.000 TL;2.)18.000 TL;3.)9.000 TL;4.)4.500 TL;5.)2.250 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;GÜVENKIZ DB SK;4y a k;KAYAYÜREKLİ;YARDIMCIKIZI;60,5;M.ŞAKİR AP;MEHMET BECENE;R.BECENE;4;;50;K5K5K2K9K3K1;9;20;
2;KARACA DÜNYA KG K;4y a k;ABUŞ;GÜLPERİSİ;61;Y.ÇELİKBAŞ;YUSUF ZİYA KARAKUŞ;İ.ÇEÇAN;3;;47;K3K2K0K5K6K9;16;14;2:16.77
3;ZEYNEPCANKIZI KG K DB;4y a k;ŞİMŞEĞİNOĞLU;ŞİPAL;60,5;M.A.AKTÜRK;HÜSEYİN BECENE;R.BECENE;1;;46;K0Ç5Ç6K5K3K1;14;20;
4;LAVİSTAKAYA SK;4y k k;BERKCAN;DOKTORKAYA;58,5;A.AKDEMİR;AHMET BABACAN;Z.AKDEMİR;5;;42;K2K6K5K6K5K5;9;15;2:21.24
5;HENAKIZ KG DB SK;4y a k;SONALP;BAHTİSER;56;İ.AKYAVUZ;CEBRAİL AKTAŞ;EKR.YARDIMCI;2;;37;K5K3K2K6K8K3;9;15;2:20.50
7'Lİ PLASE;1. 3'LÜ GANYAN;2. ÇİFTE Bu koşudan başlar;GANYAN;SABİT GANYAN;SIRALI İKİLİ

