İstanbul;(78. Yarış Günü);12/10/2025
1. Kosu :   14.00;Handikap 15/DHÖW /H2; 3 Yaşlı Araplar; kg; 1500m; Sentetik;;;;Rekor Derece :1.37.40
İkramiye;;;;;Yetiştirici Primi;;;;
1.)425.000 TL;2.)170.000 TL;3.)85.000 TL;4.)42.500 TL;5.)21.250 TL;1.)127.500 TL;2.)51.000 TL;3.)25.500 TL;4.)12.750 TL;5.)6.375 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;PENÇSİR KG DB SK;3y a  e;GÜMBÜRGÜMBÜR;KESKİNNAZ;58,5;K.TOKAÇOĞLU;ERKUL ÖCAL;R.SUNA;5;%7.12(3);58;K2K3Ç1Ç4Ç2Ç8;9;17;
2;KARA AYHAN KG DB SK;3y a  e;GÜMBÜRGÜMBÜR;KARAGÜL;53,5 +2.00;M.KEÇECİ AP;BEŞİR KAYA;RAM. KAYA;3;%4.48(5);52;K3K5Ç3K1K4K7;19;18;
3;LOSTRA DB SKG SK;3y a  e;ARTOS;ÇERKEZKÖY GÜZELİ;55,5 +1.10;A.ÇELİK;MEHMET BULANIK;O.ÖZEL;2;%55.9(1);52;K4S4K4Ç2Ç1Ç1;18;20;
4;SERPENÇE KG DB SK;3y k  e;ANKA;ÖZBEYZA;54,5 +1.20;E.ÇANKAYA;NURCAN ŞİMŞEK;B.ŞANDAN;1;%6.34(4);50;Ç6K3S2Ç6Ç4S0;7;13;1:47.15
5;ALMUTANABİY KG SK;3y a  e;UÇANBEY;ESLEM SULTAN;53,5 +1.50;V.ABİŞ;AZİZ YILMAZ;C.TURAN;7;%19.69(2);48;Ç3S3Ç4Ç1Ç2Ç2;18;19;
6;CEVATHAN KG K;3y a  e;KAPANKAYA;MEDİL;50 +2.00;B.ÇIĞLA AP;AHMET KARACADAĞ;F.TOSUN;6;%1.57(7);45;Ç1Ç5Ç5Ç7Ç3;9;16;
7;BEROSH KG K DB GKR;3y a  e;FATİH AĞA;SERAPGİBİ;50,5 +1.30;HAK.YILDIZ;MÜSLÜM ŞEKER;A.ŞEKER;4;%3.73(6);42;Ç3Ç2S2Ç1K8Ç0;18;18;1:41.48
8;TATARUŞAĞI;3y k  e;TAMERİNOĞLU;TATARKIZ;50 +2.00;Z.KARABULUT AP;ŞEMSETTİN TOYDEMİR;O.DEMİR;8;%1.16(8);38;K1K4K0Ç3S6K4;13;15;
1. 6'LI GANYAN Bu koşudan başlar;1. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ

2. Kosu :   14.30;Maiden/Dişi; 2 Yaşlı İngilizler; 57.00kg; 1300m; Sentetik;;;;Rekor Derece :1.15.99
İkramiye;;;;;Yetiştirici Primi;;;;
1.)430.000 TL;2.)172.000 TL;3.)86.000 TL;4.)43.000 TL;5.)21.500 TL;1.)129.000 TL;2.)51.600 TL;3.)25.800 TL;4.)12.900 TL;5.)6.450 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;ERULİNA DB SKG SK;2y d  d;TIZWAY (USA);ARDAHAN GÜZELİ;60;M.KAYA;ERTUĞRUL İLHAN;MAH.BAYKARA;11;%20.37(3);35;K2K3K2K2;13;19;
2;AGILE GIRL DB SK;2y d  d;HAKEEM (USA);DEVEROV;57;S.TIRPAN;ADİL EREN;M.ÖZGÜL;9;%1.21(8);;Ç8Ç5;83;18;
3;BONNIE PARKER DB SK;2y a  d;TRAPPE SHOT (USA);DADDYS DOLLARS;54 +1.90;M.KEÇECİ AP;MERTCAN ÖZKAN;Y.DEMİRKIRAN;3;%1.06(9);;K8;33;19;
4;CROWN JEWEL KG DB SK;2y d  d;EPAULETTE (AUS);KUDO;57;G.ÖZÇELİK;HÜLYA GÖDEK;T.TAŞAR;6;%2.05(7);;Ç0S7;23;18;
5;DAELLA K;2y d  d;ROMANISED (IRE);TRULLY BLESSED (FR);57;A.YILDIZ;ŞEYDA ERCAN;A.TEPEBAŞI;4;%3.73(1);;Ç7;51;19;
6;DREAM OF UYGUR DB SK;2y d  d;MASTER PATRICK (IRE);GÖLALAN;57;B.AKÇAY;ZEKİ UYGUR;A.TEKDEMİR;5;%2.15(6);32;Ç4Ç9S8Ç9Ç2S5;7;14;1:22.41
7;HIGH HILLS SK;2y d  d;TILSIT (USA);LADY CHINA;57;V.ABİŞ;C.TAHİR BURHANLIOĞLU;İB.B.OĞULLARI;8;%24.54(2);32;Ç3Ç4K3;24;17;
8;İSMERİA DB SKG SK;2y d  d;KANEKO;SKYFRONT;57;Ö.YILDIRIM;ARSEN KARA;U.BİLİK;2;%11.81(4);;Ç5;51;19;
9;JAEHAERA SK;2y d  d;KANEKO;RAVENSBURG (GB);57;G.KOCAKAYA;ŞEYDA ERCAN;A.TEPEBAŞI;1;%23.57(1);32;S3S5Ç5;28;17;
10;MISS STRONG DB;2y d  d;TIZWAY (USA);PERHANE;53;Y.GÖKÇE AP;DOĞAN KÜÇÜKEMRE;C.FİLİKSAÇ;10;%0.81(10);;Ç9S8;23;18;
11;NINETEEN KG K;2y d  d;MENDIP (USA);CURE NOTICE;57;E.AKTUĞ;ÖZCAN KURTULMUŞ;BET.YILDIRIM;7;%8.7(5);;S4;18;19;
[(5)DAELLA,(9)JAEHAERA,] eküridir.1. 5'Lİ GANYAN;2. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;ÜÇLÜ BAHİS;PLASE;PLASE İKİLİ

3. Kosu :   15.00;Handikap 16/DHÖW /H1; 4 ve Yukarı Araplar; kg; 1500m; Sentetik;;;;Rekor Derece :1.37.40
İkramiye;;;;;Yetiştirici Primi;;;;
1.)520.000 TL;2.)208.000 TL;3.)104.000 TL;4.)52.000 TL;5.)26.000 TL;1.)93.600 TL;2.)37.440 TL;3.)18.720 TL;4.)9.360 TL;5.)4.680 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;KUNYA KG DB SK;5y k  a;HABERKAN;DUDUCAN;63;C.PASO;KADRİ BAŞKURT;Ö.GÜNELİ;4;%13.9(2);71;S4Ç1Ç1Ç9Ç4Ç2;11;17;
2;GÜROBASI DB SKG SK;6y k  a;AYABAKAN;KIZILGÜNEŞ;59,5;A.E.ELMAS AP;TEKİN BİRİCİK;T.BİRİCİK;1;%8.5(5);70;Ç5Ç3Ç5K5Ç3K4;5;17;1:41.62
3;DEKÇİ BEY KG;4y k  a;URLA EFESİ;SEV BAKALIM;57,5;G.KOCAKAYA;NİMET ARİF KURTEL;B.ŞANDAN;3;%52.31(1);64;Ç6Ç2Ç1Ç1Ç6Ç2;24;18;1:41.48
4;TAŞUCU KG DB;5y d  a;BABA MEVLÜT;KIZLARKIZI;58,5;A.ÇELİK;NAMIK TURAN;O.ÖZEL;7;%12.48(3);62;Ç6Ç3Ç2S6Ç8Ç7;16;14;1:40.37
5;KULAGER DB SKG SK (Koşmaz);4y k  a;YAKUPBEY;İLKELİ;56,5;MÜS.ÇELİK;HAKAN ÇELİK;H.ÇELİK;6;%0.1(7);62;K3S3K4K5S2S4;7;17;1:41.09
6;BABA ZAMAN KG DB SK;6y a  g;SULTAN DE FAUST (FR);ATIĞ HATUN;57 +0.50;M.KAYA;MÜSLÜM ŞEKER;A.ŞEKER;2;%10.81(4);59;Ç0S3Ç4Ç7Ç8S7;7;12;1:40.28
7;BAŞ AKTÖR;5y d  a;ÖZHABER;DENİZMERYEM;50 +2.00;Y.GÖKÇE AP;AHMET ŞİMŞEK;E.KOCA;5;%1.9(6);34;K0Ç0Ç3S9Ç0Ç6;6;6;2:03.18
7'Lİ PLASE;1. 3'LÜ GANYAN;3. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;ÜÇLÜ BAHİS

4. Kosu :   15.30;KV-7; 2 Yaşlı İngilizler; 57.00kg; 1500m; Sentetik;;;;Rekor Derece :1.28.19
İkramiye;;;;;Yetiştirici Primi;;;;
1.)700.000 TL;2.)280.000 TL;3.)140.000 TL;4.)70.000 TL;5.)35.000 TL;1.)210.000 TL;2.)84.000 TL;3.)42.000 TL;4.)21.000 TL;5.)10.500 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;SAİTAMA KG SK;2y d  e;MENDIP (USA);CHI;57;E.AKTUĞ;YASİN GÖKÇEN;S.ÇELİKMAN;3;%5.81(6)  %6.05(6);61;K3K1K3K1K5S7;7;18;
2;LINARES K SK;2y d  e;TIZWAY (USA);DOKUZUNCU SENFONİ;55;A.YILDIZ;SERTAÇ KILIÇ;Ş.GÖKÇE;2;%19.07(2)  %17.9(2);52;Ç2Ç2Ç1Ç1;28;20;
3;AIMUS LIBERATUS SKG SK;2y d  e;TOROK (IRE);İREM SU;54 +1.70;E.ÇANKAYA;ENGİN BEKİROĞULLARI;İB.B.OĞULLARI;4;%14.35(4)  %14.54(4);44;Ç3Ç2S3Ç1;21;20;
