İstanbul;(78. Yarış Günü);12/10/2025
1. Kosu :   14.00;Handikap 15/DHÖW /H2; 3 Yaşlı Araplar; kg; 1500m; Sentetik;;;;Rekor Derece :1.37.40
İkramiye;;;;;Yetiştirici Primi;;;;
1.)425.000 TL;2.)170.000 TL;3.)85.000 TL;4.)42.500 TL;5.)21.250 TL;1.)127.500 TL;2.)51.000 TL;3.)25.500 TL;4.)12.750 TL;5.)6.375 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;PENÇSİR KG DB SK;3y a  e;GÜMBÜRGÜMBÜR;KESKİNNAZ;58,5;K.TOKAÇOĞLU;ERKUL ÖCAL;R.SUNA;5;%7.12(3);58;1:41.76;12,50;Boyun
2;KARA AYHAN KG DB SK;3y a  e;GÜMBÜRGÜMBÜR;KARAGÜL;53,5 +2.00;M.KEÇECİ AP;BEŞİR KAYA;RAM. KAYA;3;%4.48(5);52;1:41.82;18,70;1,5  Boy
3;ALMUTANABİY KG SK;3y a  e;UÇANBEY;ESLEM SULTAN;53,5 +1.50;V.ABİŞ;AZİZ YILMAZ;C.TURAN;7;%19.69(2);48;1:42.02;4,85;Yarım Boy
4;LOSTRA DB SKG SK;3y a  e;ARTOS;ÇERKEZKÖY GÜZELİ;55,5 +1.10;A.ÇELİK;MEHMET BULANIK;O.ÖZEL;2;%55.9(1);52;1:42.07;1,20;Burun
5;SERPENÇE KG DB SK;3y k  e;ANKA;ÖZBEYZA;54,5 +1.20;E.ÇANKAYA;NURCAN ŞİMŞEK;B.ŞANDAN;1;%6.34(4);50;1:42.09;16,90;
6;CEVATHAN KG K;3y a  e;KAPANKAYA;MEDİL;50 +2.00;B.ÇIĞLA AP;AHMET KARACADAĞ;F.TOSUN;6;%1.57(7);45;1:42.71;37,60;
7;TATARUŞAĞI;3y k  e;TAMERİNOĞLU;TATARKIZ;50 +2.00;Z.KARABULUT AP;ŞEMSETTİN TOYDEMİR;O.DEMİR;8;%1.16(8);38;1:43.69;37,30;
8;BEROSH KG K DB GKR;3y a  e;FATİH AĞA;SERAPGİBİ;50,5 +1.30;HAK.YILDIZ;MÜSLÜM ŞEKER;A.ŞEKER;4;%3.73(6);42;1:45.90;19,95;
GANYAN(1) :12,50 TL, İKİLİ(1/2) :49,10 TL, SIRALI İKİLİ(1/2) :96,20 TL

2. Kosu :   14.30;Maiden/Dişi; 2 Yaşlı İngilizler; 57.00kg; 1300m; Sentetik;;;;Rekor Derece :1.15.99
İkramiye;;;;;Yetiştirici Primi;;;;
1.)430.000 TL;2.)172.000 TL;3.)86.000 TL;4.)43.000 TL;5.)21.500 TL;1.)129.000 TL;2.)51.600 TL;3.)25.800 TL;4.)12.900 TL;5.)6.450 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;JAEHAERA SK;2y d  d;KANEKO;RAVENSBURG (GB);57;G.KOCAKAYA;ŞEYDA ERCAN;A.TEPEBAŞI;1;%23.57(1);32;1:17.99;2,85;9 Boy
2;DAELLA K;2y d  d;ROMANISED (IRE);TRULLY BLESSED (FR);57;A.YILDIZ;ŞEYDA ERCAN;A.TEPEBAŞI;4;%3.73(1);;1:19.79;2,85;2 Boy
3;AGILE GIRL DB SK;2y d  d;HAKEEM (USA);DEVEROV;57;S.TIRPAN;ADİL EREN;M.ÖZGÜL;9;%1.21(8);;1:20.05;46,95;3,5 Boy
4;ERULİNA DB SKG SK;2y d  d;TIZWAY (USA);ARDAHAN GÜZELİ;60;M.KAYA;ERTUĞRUL İLHAN;MAH.BAYKARA;11;%20.37(3);35;1:20.59;4,75;3,5 Boy
5;HIGH HILLS SK;2y d  d;TILSIT (USA);LADY CHINA;57;V.ABİŞ;C.TAHİR BURHANLIOĞLU;İB.B.OĞULLARI;8;%24.54(2);32;1:21.06;2,60;
6;DREAM OF UYGUR DB SK;2y d  d;MASTER PATRICK (IRE);GÖLALAN;57;B.AKÇAY;ZEKİ UYGUR;A.TEKDEMİR;5;%2.15(6);32;1:21.09;32,00;
7;İSMERİA DB SKG SK;2y d  d;KANEKO;SKYFRONT;57;Ö.YILDIRIM;ARSEN KARA;U.BİLİK;2;%11.81(4);;1:21.20;8,00;
8;CROWN JEWEL KG DB SK;2y d  d;EPAULETTE (AUS);KUDO;57;G.ÖZÇELİK;HÜLYA GÖDEK;T.TAŞAR;6;%2.05(7);;1:21.51;22,20;
9;NINETEEN KG K;2y d  d;MENDIP (USA);CURE NOTICE;57;E.AKTUĞ;ÖZCAN KURTULMUŞ;BET.YILDIRIM;7;%8.7(5);;1:22.48;8,30;
10;MISS STRONG DB;2y d  d;TIZWAY (USA);PERHANE;53;Y.GÖKÇE AP;DOĞAN KÜÇÜKEMRE;C.FİLİKSAÇ;10;%0.81(10);;1:22.53;42,10;
11;BONNIE PARKER DB SK;2y a  d;TRAPPE SHOT (USA);DADDYS DOLLARS;54 +1.90;M.KEÇECİ AP;MERTCAN ÖZKAN;Y.DEMİRKIRAN;3;%1.06(9);;1:24.42;36,70;
[(9)JAEHAERA,(5)DAELLA,] eküridir.GANYAN(9) :2,85 TL, İKİLİ(5/9) :42,45 TL, SIRALI İKİLİ(9/5) :78,30 TL, ÜÇLÜ BAHİS(9/5/2) :1.528,62 TL, PLASE(5) :18,05 TL, PLASE(9) :1,60 TL, PLASE İKİLİ(2/5) :262,20 TL, PLASE İKİLİ(2/9) :25,10 TL, PLASE İKİLİ(5/9) :27,50 TL, 1. ÇİFTE(1/5,9) :39,30 TL

3. Kosu :   15.00;Handikap 16/DHÖW /H1; 4 ve Yukarı Araplar; kg; 1500m; Sentetik;;;;Rekor Derece :1.37.40
İkramiye;;;;;Yetiştirici Primi;;;;
1.)520.000 TL;2.)208.000 TL;3.)104.000 TL;4.)52.000 TL;5.)26.000 TL;1.)93.600 TL;2.)37.440 TL;3.)18.720 TL;4.)9.360 TL;5.)4.680 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KUNYA KG DB SK;5y k  a;HABERKAN;DUDUCAN;63;C.PASO;KADRİ BAŞKURT;Ö.GÜNELİ;4;%13.9(2);71;1:41.50;4,75;1 Boy
2;BABA ZAMAN KG DB SK;6y a  g;SULTAN DE FAUST (FR);ATIĞ HATUN;57 +0.50;M.KAYA;MÜSLÜM ŞEKER;A.ŞEKER;2;%10.81(4);59;1:41.66;4,70;2 Boy
3;TAŞUCU KG DB;5y d  a;BABA MEVLÜT;KIZLARKIZI;58,5;A.ÇELİK;NAMIK TURAN;O.ÖZEL;7;%12.48(3);62;1:41.94;5,30;1 Boy
4;GÜROBASI DB SKG SK;6y k  a;AYABAKAN;KIZILGÜNEŞ;59,5;A.E.ELMAS AP;TEKİN BİRİCİK;T.BİRİCİK;1;%8.5(5);70;1:42.09;9,75;3,5 Boy
5;DEKÇİ BEY KG;4y k  a;URLA EFESİ;SEV BAKALIM;57,5;G.KOCAKAYA;NİMET ARİF KURTEL;B.ŞANDAN;3;%52.31(1);64;1:42.73;1,70;
6;BAŞ AKTÖR;5y d  a;ÖZHABER;DENİZMERYEM;50 +2.00;Y.GÖKÇE AP;AHMET ŞİMŞEK;E.KOCA;5;%1.9(6);34;1:44.50;27,65;
7;KULAGER DB SKG SK (Koşmaz);4y k  a;YAKUPBEY;İLKELİ;56,5;MÜS.ÇELİK;HAKAN ÇELİK;H.ÇELİK;6;%0.1(7);62;Koşmaz;;
GANYAN(1) :4,75 TL, İKİLİ(1/6) :14,55 TL, SIRALI İKİLİ(1/6) :31,05 TL, ÜÇLÜ BAHİS(1/6/4) :241,41 TL, 2. ÇİFTE(5,9/1) :21,70 TL

4. Kosu :   15.30;KV-7; 2 Yaşlı İngilizler; 57.00kg; 1500m; Sentetik;;;;Rekor Derece :1.28.19
İkramiye;;;;;Yetiştirici Primi;;;;
1.)700.000 TL;2.)280.000 TL;3.)140.000 TL;4.)70.000 TL;5.)35.000 TL;1.)210.000 TL;2.)84.000 TL;3.)42.000 TL;4.)21.000 TL;5.)10.500 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BALLAD KING  DB;2y d  e;SADLER'S JOY (USA);MISS DREAM;53 +2.00;A.SÖZEN;DENİZ KURTEL;H.YÜZBAŞI;8;%16.19(3)  %15.54(3);46;1:31.25;5,90;Baş
2;AIMUS LIBERATUS SKG SK;2y d  e;TOROK (IRE);İREM SU;54 +1.70;E.ÇANKAYA;ENGİN BEKİROĞULLARI;İB.B.OĞULLARI;4;%14.35(4)  %14.54(4);44;1:31.26;6,25;3 Boy
3;LINARES K SK;2y d  e;TIZWAY (USA);DOKUZUNCU SENFONİ;55;A.YILDIZ;SERTAÇ KILIÇ;Ş.GÖKÇE;2;%19.07(2)  %17.9(2);52;1:31.70;4,45;3 Boy
4;LORD OF DRAGON K DB;2y d  e;VICTORY GALLOP (CAN);SEDDIFI;53;S.TIRPAN;ADİL EREN;M.ÖZGÜL;6;%3.17(8)  %3.3(8);35;1:32.15;18,50;Boyun
5;ERSELE BEYİ DB SK;2y k  e;GENERAL QUARTERS (USA);KEDİ KIZ;54 +2.00;M.AKYAVUZ;MURAT AKTAŞ;M.ÖRTÜNÇ;5;%11.75(5)  %11.6(5);42;1:32.21;6,75;
6;RUZYM SK;2y d  d;KING DAVID (USA);DENİZYELE;52 +2.00;B.M.MIRIK;UĞUR TOKA;S.YANMAZ;9 - DS;%2.65(9)  %3.08(9);45;1:32.34;18,50;
7;NOBLE STRENGTH K;2y d  e;VICTOIRE PISA (JPN);MANAROLA;53 +1.90;V.ABİŞ;LALE M. ATMAN;MET.ACAR;1;%21.65(1)  %22.48(1);53;1:32.48;2,85;
8;SAİTAMA KG SK;2y d  e;MENDIP (USA);CHI;57;E.AKTUĞ;YASİN GÖKÇEN;S.ÇELİKMAN;3;%5.81(6)  %6.05(6);61;1:32.91;9,80;
9;FALCONNIDAE SK;2y d  e;TORUK MACTO (IRE);LADY FALCON;53 +2.00;GÖKH.GÖKÇE;HALİL EVREN ŞAHİN;Y.DEMİRKIRAN;7;%5.37(7)  %5.5(7);45;1:35.58;13,50;
GANYAN(4) :5,90 TL, İKİLİ(3/4) :16,75 TL, SIRALI İKİLİ(4/3) :38,20 TL, 3. ÇİFTE(1/4) :35,25 TL

5. Kosu :  KEMAL ARARAT KOŞUSU 16.00;KV-7/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1300m; Sentetik;;;;Rekor Derece :1.23.86
İkramiye;;;;;Yetiştirici Primi;;;;
1.)700.000 TL;2.)280.000 TL;3.)140.000 TL;4.)70.000 TL;5.)35.000 TL;1.)210.000 TL;2.)84.000 TL;3.)42.000 TL;4.)21.000 TL;5.)10.500 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;AYSERA KIZ SK;3y k  d;TURBO;ESİNİM;59;M.AKYAVUZ;SEMİH KATI;C.KATI;6;%24.12(1)  %21.83(1);70;1:26.29;3,10;1 Boy
2;FISTIK ÇAMI KG DB SK;3y a  d;ÖZHABER;YALNIZ ÇAM;57;A.YILDIZ;SEDAT YILDIRIM;Y.ÖZTAŞ;7;%6.06(6)  %7.13(6);54;1:26.45;15,75;1,5  Boy
3;KOPUK UÇURTMA KG DB SK;3y k  d;OĞLUM EGE;KONUKSEVER;54 +2.00;Ö.YILDIRIM;ÖNDER BAHAR;G.DÜŞÜNCELİ;9;%11.39(5)  %11.89(5);51;1:26.72;8,35;Burun
4;SEMRAKAYA KG K;3y k  d;YÜREKKAYA;ANAYA (FR);59;S.KAYA;AHMET KAYA;E.KAYA;3;%18.96(2)  %17.98(2);62;1:26.73;3,50;Baş
5;MİSS KÜBRA KG DB SKG SK;3y a  d;ÖZHABER;MİSS GÖLCÜK;57;A.SÖZEN;COŞKUN GÖZLER;MAH.BAYKARA;2;%18.71(3)  %18.32(3);64;1:26.76;4,80;
6;CABİRE SULTAN KG K;3y k  d;GÜMBÜRGÜMBÜR;ZAZU;55 +2.00;M.KAYA;ERDOĞAN ŞENOCAKLI;T.ŞİT;4;%5.9(7)  %6.5(7);47;1:28.20;12,25;
7;DEVAŞA DB SK;3y a  d;ÖZHABER;MAHMURE;54 +1.10;V.ABİŞ;MURAT ALTIN;A.TEMİZER;1;%11.84(4)  %13.01(4);45;1:28.52;4,25;
8;EFSANE HANIM KG K DB;3y k  d;KAFKASLIEFSANESİ;HANIMCIM;55 +1.20;G.ÖZÇELİK;AHMET KAYA;E.KAYA;8;%1.91(2)  %1.94(2);50;1:28.67;3,50;
9;TEKİNHANIM KG K DB GKR;3y k  d;FİRİKYA;ORGANİK;54 +2.00;M.KEÇECİ AP;ABDULKADİR YAZAR;AL.ÇİZİK;5;%1.13(8)  %1.39(8);28;1:28.75;48,25;
[(2)SEMRAKAYA,(6)EFSANE HANIM,] eküridir.GANYAN(1) :3,10 TL, 1. 3'LÜ GANYAN(1/4/1) :238,60 TL, İKİLİ(1/3) :26,90 TL, SIRALI İKİLİ(1/3) :41,75 TL, ÜÇLÜ BAHİS(1/3/8) :491,57 TL, PLASE(1) :1,45 TL, PLASE(3) :7,80 TL, 4. ÇİFTE(4/1) :28,20 TL

6. Kosu :  TALİ ÇALBATUR KOŞUSU 16.30;G 3/Dişi; 3 ve Yukarı İngilizler; 56.50kg; 60.00 kg; 60.00 kg; 2100m; Çim;;;;Rekor Derece :2.06.90
İkramiye;;;;;Yetiştirici Primi;;;;
1.)1.800.000 TL;2.)720.000 TL;3.)360.000 TL;4.)180.000 TL;5.)90.000 TL;1.)540.000 TL;2.)216.000 TL;3.)108.000 TL;4.)54.000 TL;5.)27.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BEAUTY OF DARKNESS K;3y d  d;TIZWAY (USA);YASEMİN KIZ;56,5;Ö.YILDIRIM;ERDAL ÖZTÜRK;U.KULAK;8;%32.65(1)  %29.08(1);100;2:14.73;2,55;Baş
2;NYMPHADORA TONKS K DB ÖG;4y d k;LUXOR;FOULITA;60;M.KAYA;ONUR DİLBAZ;İB.B.OĞULLARI;3;%24.27(2)  %23.07(2);102;2:14.75;2,90;1,5  Boy
3;ETSUKO KG DB SK;4y a k;KANEKO;OCEAN SERAPH;60;MÜS.ÇELİK;MEHMET EMİN EKENLER;S.GÜRKAN;9;%10.39(4)  %11.78(3);101;2:14.98;8,25;Boyun
4;MOONLIGHT FAIRY DB SK;5y k k;GRAYSTORM;AY İNCİSİ;60;H.KARATAŞ;AHMET GÜZELOCAK;B.TURGUL;10 - DS;%7.98(5)  %8.74(5);97;2:15.03;7,85;2 Boy
5;OHRID INCISI DB SK;4y d k;MYBOYCHARLIE (IRE);KILFARASY (IRE);60;M.AKYAVUZ;FEDAİ KAHRAMAN;KAD.BALTACI;11 - DS;%3.78(3)  %4.17(4);81;2:15.34;7,25;
6;ESTIMATE SK;5y d k;SMART ROBIN (JPN);QUEEN GAIA;60;G.KOCAKAYA;SEHER ETİ;T.SÜSLÜ;1;%6.41(6)  %7.04(6);96;2:16.74;9,55;
7;ROSSO E BIANCO DB SK;4y d k;SCARFACE;REYAREYA;60;A.YILDIZ;AHMET KURT;D.KAYA;6;%5.18(7)  %6(7);89;2:17.98;13,65;
8;STASERA K DB;4y d k;CATAPULT (USA);SUBIRA (GER);60;A.SÖZEN;ORHAN KİBAR;S.ÇİFTÇİ;4;%2.43(8)  %2.89(8);89;2:18.23;25,15;
9;SECRET IMAGE DB SK;4y k k;LAWMAN (FR);AN RIOCHT (IRE);60;V.ABİŞ;SANEM KAHRAMAN;KAD.BALTACI;2;%4.23(3)  %4.37(4);85;2:19.47;7,25;
10;SHIROKE K DB;4y d k;TORONADO (IRE);MASHKA (IRE);60;E.ÇANKAYA;SANEM KAHRAMAN;KAD.BALTACI;7;%2.62(3)  %2.84(4);90;2:27.28;7,25;
11;SPLENDID DB SKG (Koşmaz);6y d k;LUXOR;GRAND EXPECTATIONS;60;A.KURŞUN;VOLKAN R. EKİNCİ;A.KÜÇÜKAKSOY;5;%0.07(9)  %0.02(9);94;Koşmaz;;
[(5)OHRID INCISI,(7)SECRET IMAGE,(8)SHIROKE,] eküridir.GANYAN(11) :2,55 TL, 1. 6'LI GANYAN(1/5,9/1/4/1/9,11) :16.000,45 TL, 1. 5'Lİ GANYAN(5,9/1/4/1/9,11) :1.637,88 TL, İKİLİ(4/11) :3,35 TL, SIRALI İKİLİ(11/4) :6,25 TL, ÜÇLÜ BAHİS(11/4/2) :41,38 TL Çıkan 1 Atla: 5,86 TL, PLASE(11) :1,30 TL, PLASE(4) :1,25 TL, PLASE İKİLİ(2/11) :9,90 TL, PLASE İKİLİ(2/4) :5,80 TL, PLASE İKİLİ(4/11) :4,60 TL, 5. ÇİFTE(1/11) :8,70 TL

7. Kosu :   17.00;Handikap 17 /H1; 3 ve Yukarı İngilizler; kg; 2100m; Sentetik;;;;Rekor Derece :2.09.15
İkramiye;;;;;Yetiştirici Primi;;;;
1.)570.000 TL;2.)228.000 TL;3.)114.000 TL;4.)57.000 TL;5.)28.500 TL;1.)136.800 TL;2.)54.720 TL;3.)27.360 TL;4.)13.680 TL;5.)6.840 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;LAST MOMENT K;3y d  e;APPROVE (IRE);CAROLINA REAPER;50 +2.00;A.ASLAN;BÜLENT TAŞÇI;S.BEKTAŞ;7 - DS;%65.34(1);66;2:11.77;1,30;4 Boy
2;LAUREATE K DB SKG;3y d  e;NOBEL PRIZE (IRE);INTO THE WILD (FR);58;G.KOCAKAYA;GÜLŞEN DÜLGER;H.DÜLGER;6 - DS;%15.06(2);82;2:12.48;5,45;2 Boy
3;MISTER PROTEO SKG SK;5y a  a;THREE VALLEYS (USA);STELLA MIA;60,5;A.KURŞUN;HAKAN S. ÖZCAN;B.KAÇMAZ;1;%7.83(3);80;2:12.77;8,25;1 Boy
4;ACAR TAY KG DB SK;5y d  a;KALİMDOR;BURANO KIZI;50 +1.60;HAK.YILDIZ;AHMET CAN KARABULUT;S.ÇİFTÇİ;3;%1.24(7);59;2:12.92;34,60;1,5  Boy
5;YILDIRIMDURALİ KG DB SK;4y d  a;BODEMEISTER (USA);LOVE SONG;57,5;E.AKTUĞ;OKTAY FERHAN BİTİRMİŞ;HAK.POLAT;4;%2.04(6);74;2:13.14;25,35;
6;UMUTBEY SK;5y d  a;BUSHRANGER (IRE);KHALESSİ;60,5;E.ÇANKAYA;OKAN MALGİL;O.ALTUNTAŞ;2;%2.61(5);80;2:13.41;14,80;
7;CATCH THE STARS SK;5y d  a;LION HEART (USA);STAR KIZ;63;A.ÇELİK;ÖZCAN SELİK;T.YILMAZ;5 - DS;%5.88(4);85;2:13.64;7,25;
GANYAN(6) :1,30 TL, İKİLİ(2/6) :2,65 TL, SIRALI İKİLİ(6/2) :3,40 TL, ÜÇLÜ BAHİS(6/2/3) :15,57 TL, 6. ÇİFTE(11/6) :2,65 TL

8. Kosu :  ATIF ER KOŞUSU 17.30;KV-8; 3 Yaşlı İngilizler; 58.00kg; 1500m; Sentetik;;;;Rekor Derece :1.28.19
İkramiye;;;;;Yetiştirici Primi;;;;
1.)810.000 TL;2.)324.000 TL;3.)162.000 TL;4.)81.000 TL;5.)40.500 TL;1.)194.400 TL;2.)77.760 TL;3.)38.880 TL;4.)19.440 TL;5.)9.720 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BANDOLERO KG DB SK;3y d  e;BODEMEISTER (USA);BEYBUSHKA;58;E.ÇANKAYA;SEMİH KATI;C.KATI;4;%12.45(2);79;1:30.27;6,70;1 Boy
2;QUANTUM OF SOLACE KG DB;3y k  e;GAZIBORA KHAN (GB);DIREHORSE (IRE);58;Ö.YILDIRIM;RECEP DİKKULE;Y.AKKILIÇ;5 - DS;%10.88(3);76;1:30.38;7,70;1 Boy
3;MAGIC WEAPON KG DB;3y d  e;TIZWAY (USA);INVINCIBLE GIRL;61;A.KURŞUN;MELİS KURTEL EMİN;H.YÜZBAŞI;2;%58.46(1);89;1:30.52;1,30;2 Boy
4;FIREBENDER KG DB SK;3y d  e;BODEMEISTER (USA);FAIR ROSE;58;V.ABİŞ;ADİL MERT KAYA;T.TAŞAR;6 - DS;%9.5(4);86;1:30.87;6,75;4 Boy
5;FATHER MEHMET DB;3y d  e;VICTORY GALLOP (CAN);WIN STAR WIN;58;A.YILDIZ;VELAT BAYBAŞİN;A.BOZKURT;3;%6.42(5);84;1:31.59;8,70;
6;LİVZARA KG K;3y d  d;AFTER MARKET (USA);KAPTANIN KIZI;56;K.TOKAÇOĞLU;HÜSEYİN BECENE;FERH.ALTIN;1;%2.29(6);80;1:32.07;20,45;
GANYAN(2) :6,70 TL, SIRALI İKİLİ(2/5) :31,50 TL, 7. ÇİFTE(6/2) :10,80 TL

9. Kosu :   18.00;Maiden/Dişi; 2 Yaşlı İngilizler; 57.00kg; 1300m; Sentetik;;;;Rekor Derece :1.15.99
İkramiye;;;;;Yetiştirici Primi;;;;
1.)430.000 TL;2.)172.000 TL;3.)86.000 TL;4.)43.000 TL;5.)21.500 TL;1.)129.000 TL;2.)51.600 TL;3.)25.800 TL;4.)12.900 TL;5.)6.450 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;LADAMADELAMAFIA K;2y d  d;MENDIP (USA);MAMMA MIA;57;A.SÖZEN;GÜLİZAR YANIK;C.KATI;9;%18.19(2);40;1:19.01;3,60;5 Boy
2;AMBER TREASURE K;2y a  d;KLIMT (USA);EYE IN THE SKY;57;M.KAYA;YALÇIN GÖNÜL;S.AYDOĞAN;2;%3.27(8);;1:19.82;26,90;Burun
3;RAIN BEAUTY SK;2y a  d;KLIMT (USA);NESLİNAZ;59;MÜS.ÇELİK;BARIŞ ÖPÇİN;G.SÜTCÜ;7;%27.23(1);36;1:19.83;2,80;3,5 Boy
4;ELISA DAY SK;2y a  d;ULYSSES (IRE);BELLA NOSTALGIA (IRE);57;A.KURŞUN;V.İBRAHİM ARACI;E.USLU;5;%12.17(4);;1:20.37;4,90;1,5  Boy
5;VEN CONMİGO K;2y d  d;MYBOYCHARLIE (IRE);GLEN;53;Y.GÖKÇE AP;SEMİH KATI;C.KATI;4;%8.44(6);32;1:20.55;8,25;
6;HILDA K;2y d  d;LAWMAN (FR);BAILEYS PARISIENNE (FR);57;A.YILDIZ;BERİN GÖKTÜRK;H.BOYRAZ;10;%13.6(3);32;1:20.65;7,35;
7;ULTIMATE POWER SK;2y d  d;MENDIP (USA);HOLY EMPRESS;57;E.AKTUĞ;MERVE MANAV;T.ŞİT;11 - DS;%2.13(9);;1:21.61;32,20;
8;FINALLY IDYLL KG K;2y d  d;KINOWA;WABUNABA;54 +1.90;M.KEÇECİ AP;TARDUHAN SÜTMEN;HÜS.ÇAKMAK;3;%3.66(7);;1:21.84;23,65;
9;BIMINI ROAD DB SK;2y d  d;KANEKO;LADY SMITH;57;İ.KOYUNCU AP;ADİL MERT KAYA;T.TAŞAR;8;%1.51(10);13;1:22.90;41,60;
10;SMOOTH CRIMINAL K;2y d  d;HEMSWORTH (USA);FLANDRA;57;G.ÖZÇELİK;HAKAN YENİDOĞAN;H.ACAR;1;%8.57(5);;1:23.97;11,30;
11;MUSTANG SALLY KG K;2y a  d;ARSEN LUPEN;CAT IN THE HAT;57;A.ASLAN;HALUK VEFA ERSÖZ;T.KURT;6;%1.24(11);;Derecesiz;47,85;
GANYAN(7) :3,60 TL, 7'Lİ PLASE(1,6/3,4/1,3/4,9,11/2,6/2,5/2,7) :3.069,50 TL, 2. 6'LI GANYAN(4/1/9,11/6/2/7) :4.816,50 TL, 2. 5'Lİ GANYAN(1/9,11/6/2/7) :948,78 TL, 4'LÜ GANYAN(9,11/6/2/7) :306,90 TL, 2. 3'LÜ GANYAN(6/2/7) :113,50 TL, İKİLİ(2/7) :61,00 TL, SIRALI İKİLİ(7/2) :89,10 TL, ÜÇLÜ BAHİS(7/2/1) :580,47 TL, PLASE(2) :4,15 TL, PLASE(7) :2,35 TL, PLASE İKİLİ(1/2) :30,60 TL, PLASE İKİLİ(1/7) :5,90 TL, PLASE İKİLİ(2/7) :28,20 TL, 8. ÇİFTE(2/7) :29,45 TL
