Bursa;(51. Yarış Günü);10/10/2025
1. Kosu :   14.00;Handikap 15/Dişi /H2; 3 ve Yukarı İngilizler; kg; 1400m; Kum;;;;Rekor Derece :1.24.50
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)63.000 TL;2.)25.200 TL;3.)12.600 TL;4.)6.300 TL;5.)3.150 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;PERİ MİRA DB SK;3y d  d;TOUCH THE WOLF;LEGEDEMA;57,5;E.YAVUZ;ALPER ERDOĞUŞ;A.ÖZDENİZ;8;%17.14(3);52;1:28.99;5,45;3 Boy
2;GENÇAY NALAN KG K DB;4y a k;SHERE KHAN;AKYAZILI HANDE;51 +2.00;C.PASO;CİHAN ERDEM KOPAL;K.ŞENGEL;5;%1.12(13);34;1:29.48;36,80;2 Boy
3;MEGA LOVE DB SK;3y d  d;GOOD CURRY;SUDE SULTAN;58 +0.20;H.ÇİZİK;FERHAT ÇELİK;Ö.YILDIRIM;10;%18.67(2);53;1:29.76;4,05;1 Boy
4;TRUE ANGEL KG K DB;4y d k;BLUEGRASS CAT (USA);LADY DERYA (IRE);57;B.M.MIRIK;FURKAN GÜVEN;O.ÖZPUYLAT;6;%16.07(4);46;1:29.94;2,70;3 Boy
5;HUSARIA KG;3y d  d;NOBEL PRIZE (IRE);WINGED VALKYRIE (IRE);51,5 +2.00;N.AVCİ;BİLAL AVCI;S.ÇİFTÇİ;7;%18.92(1);40;1:30.42;5,20;
6;NOVADORA DB SK;4y d k;APPROVE (IRE);LERZAN;50 +2.00;B.ÇIĞLA AP;İDİL TUNÇ;F.KIRAN;3;%1.14(12);32;1:30.64;50,65;
7;GO BEAUTY DB;4y d k;GRAYSTORM;COZY TALE (USA);55,5 +0.10;F.KARAKURT AP;GAZANFER YAVUZ;A.ÖZDENİZ;11;%2.17(9);47;1:31.41;21,95;
8;CATIMINI KG DB;4y d k;PACO BOY (IRE);ALIYAMA (IRE);51 +1.20;HA.GÖKÇE AP;FERİT SARAK;U.YOĞURTCU;9;%1.16(11);40;1:32.53;48,60;
9;BEBEĞİM OLDUN K;3y d  d;MYBOYCHARLIE (IRE);PAÇİ;56 +0.30;O.YILDIZ;CEYHUN ÇETİNKAYA;H.HARMANBAŞI;1;%5.52(6);49;1:33.79;15,75;
10;ANGEL QUEST K DB;4y d k;AIR VICE MARSHAL (USA);ISLAND QUEST (USA);57;A.MEH.ALTIN AP;MÜCAHİT TEMEL;K.ŞENGEL;13;%7.76(5);52;1:34.75;19,95;
11;TIROL HOPE KG DB SK;5y d k;BOSPORUS (IRE);HOPE;63;T.YILDIZ;BURCU KUTLU;M.M.İNAL;4;%4.24(8);58;1:35.37;20,60;
12;DREAMLINER DB SK;5y k k;LUXOR;MEMPHIS BELLE (GB);62;MAHS.TURAN;SEDAT İNAL;F.TOSUN;12;%4.75(7);56;1:37.85;19,15;
13;LOVESUN KG K DB;4y d k;RUN AWAY AND HIDE (USA);MOUNTAIN KITTEN;56 +0.50;E.AKPINAR AP;VOLKAN YOZGATLI;Y.GÜNDOĞDİ;2;%1.33(10);50;1:37.94;50,50;
GANYAN(5) :5,45 TL, İKİLİ(5/12) :160,90 TL, SIRALI İKİLİ(5/12) :242,35 TL

2. Kosu :   14.30;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1300m; Kum;;;;Rekor Derece :1.26.81
İkramiye;;;;;Yetiştirici Primi;;;;
1.)390.000 TL;2.)156.000 TL;3.)78.000 TL;4.)39.000 TL;5.)19.500 TL;1.)117.000 TL;2.)46.800 TL;3.)23.400 TL;4.)11.700 TL;5.)5.850 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;İSMET ABİ KG SK;3y a  e;FATİH AĞA;BERİLSU;57;N.AVCİ;MEHMET YILDIZ;S.ÇİFTÇİ;7;%13.71(3);;1:31.94;3,35;1 Boy
2;ŞANSIBOLBEY KG;3y a  e;GELİBOLU;SEDAHANIM;57 +1.10;MAH.TURAN;HALİT DAĞTEKİN;Y.GÜNDOĞDİ;3;%8.44(4);30;1:32.10;10,20;Yarım Boy
3;TEKOŞEN KG;3y a  e;TAYKUT;KINALI KUZU;57;O.YILDIZ;REMZİ AKBULUT;V.AKBULUT;1;%26.58(2);;1:32.17;3,70;4 Boy
4;HEYBETLİ KG SK;3y a  e;BERKSOY;DELTA;59;A.MEH.ALTIN AP;TÜRKAN ALTIN;B.ATAY;9;%38.15(1);36;1:32.88;2,35;2,5 Boy
5;ÖZMİLA KG K DB;3y d  e;ONURKAAN;BEGİM;57;Y.E.YÜKSEL AP;EMRE YILMAZ;M.ÖZGÜL;13;%0.26(13);;1:33.32;98,95;
6;BALATÜRK KG DB SK;3y k  e;YAŞARCIK;CAVİDANHANIM;57;M.M.BİLGİN;EMRE ÜNSEVER;G.ÖZER;4;%4.11(5);14;1:33.52;23,10;
7;EYBERK;3y a  e;DİLİRAN;KIZIM ZEYNEP;53;HA.GÖKÇE AP;EMİNE KAYA;Z.KAYA;5;%1.24(8);19;1:34.92;26,15;
8;MAVİ DÜNYAM	 KG K;3y k  d;KURUŞAĞA;PELENİNKIZI;55 +0.80;A.İNCİ;İBRAHİM HALİL KARATAŞ;A.MANTAŞ;2;%3.45(6);;1:35.93;17,45;
9;CİHAN BABA KG K DB;3y a  e;SERHANTAY;ALNURA;57 +0.40;T.ALICI;CEVER KARAOĞLAN;F.KIRAN;10;%0.56(10);8;1:36.22;63,25;
10;GÜNTÜRKÜN KG K DB;3y a  d;BAŞ HÜKÜMDAR;HOPALIM;55;C.ALTUN;HAKAN KAVÇİN;F.KIRAN;8;%0.48(11);;1:36.24;86,20;
11;KAYAARSEN KG DB;3y a  e;BERKCAN;GİTHERRE;57 +0.50;O.GÖKÇE;YUSUF KAYA;A.MANTAŞ;6;%0.33(12);;1:36.31;75,95;
12;ASİL KARACA KG SK;3y d  e;CİHANSER;NURDANAY;57;B.M.MIRIK;ŞAHNUR KARACA;M.ACAR;12;%2.08(7);;1:38.31;24,85;
13;SULTANİ DB SK;3y a  e;ÖZHABER;ESMANUR;57;E.YAVUZ;A.LEVENT DİLMAÇ;İ.ÇAK;11;%0.6(9);11;1:42.49;43,60;
GANYAN(6) :3,35 TL, İKİLİ(6/10) :25,05 TL, SIRALI İKİLİ(6/10) :37,30 TL, ÜÇLÜ BAHİS(6/10/11) :260,31 TL, PLASE(10) :3,40 TL, PLASE(6) :3,80 TL, PLASE İKİLİ(10/11) :7,20 TL, PLASE İKİLİ(6/10) :12,80 TL, PLASE İKİLİ(6/11) :6,00 TL, SIRALI 5 Lİ BAHİS(6/10/11/1/8) :12.701,65 TL, 1. ÇİFTE(5/6) :43,60 TL

