İstanbul;(77. Yarış Günü);10/10/2025
1. Kosu :   16.45;ŞARTLI 4/DHÖ; 4 ve Yukarı Araplar; 58.00kg; 60.00 kg; 2000m; Sentetik;;;;Rekor Derece :2.14.92
İkramiye;;;;;Yetiştirici Primi;;;;
1.)425.000 TL;2.)170.000 TL;3.)85.000 TL;4.)42.500 TL;5.)21.250 TL;1.)76.500 TL;2.)30.600 TL;3.)15.300 TL;4.)7.650 TL;5.)3.825 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;EGETAY KG GKR;7y k  a;ALTAHA;AHUBERE;60;E.BOZDAĞ AP;TOLGA ŞAHİN;E.USLU;4;%2.1(7);75;Ç4Ç4S8Ç1Ç4Ç5;7;18;2:18.02
2;FIRTINALAR DİYARI KG DB;7y k  a;TAMERİNOĞLU;BEYAZ İNCİ;60;A.ÇELİK;MEHMET SAİT AYALP;R.GÜNELİ;3;%10.22(3);87;Ç7S2S7Ç7Ç5S6;12;13;2:16.03
3;GUBAZ DB SK;9y a  a;TURBO;GÖKÇEDİL;57;M.KEÇECİ AP;İSRAFİL FELHAN;Ö.GÜNELİ;1;%2.42(6);58;Ç2Ç9S5Ç9Ç8S3;7;14;2:18.30
4;HÜKÜM KG K DB;5y a  a;UÇANBEY;RABİA;60;G.KOCAKAYA;NECATİ DEMİRKOL;Z.GÜNELİ;5;%67.79(1);101;S3Ç2S0S2S3S2;12;20;2:16.91
5;HAZBALIK KG DB SK;5y k k;BALIKHAN;HAZ;58;A.YILDIZ;FATMA NİLGÜN KUTLU;R.A.TEKELİ;6;%11.15(2);84;Ç0Ç4Ç2Ç1Ç1K0;11;19;2:17.49
6;TATMAR BEY DB SK;6y k  a;EFEM;AHUCEREN;53 +2.00;SER.YILDIZ AP;MURAT TEZER;G.TAŞDELEN;8;%2.45(5);82;Ç4-K0K9Ç9K6Ç1;4;20;
7;KARAGÖZBEYİ KG K;4y a  a;DURMAZER;AŞK FIRTINASI;55;S.AKBULAT AP;HÜSNÜ KARAGÖZ;B.ŞENGEL;2;%0.28(8);36;S0K3S8S9Ç5Ç0;4;13;2:22.63
8;SUBİKE KG DB;9y k k;ARASLI;KUTBİKE;55 +1.70;A.SÖZEN;TÜLAY ÇİFTÇİ;C.POLAT;7;%3.6(4);76;S9S0S7Ç5Ç8Ç3;9;12;2:19.28
1. 6'LI GANYAN Bu koşudan başlar;1. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ
