İstanbul;(77. Yarış Günü);10/10/2025
1. Kosu :   16.45;ŞARTLI 4/DHÖ; 4 ve Yukarı Araplar; 58.00kg; 60.00 kg; 2000m; Sentetik;;;;Rekor Derece :2.14.92
İkramiye;;;;;Yetiştirici Primi;;;;
1.)425.000 TL;2.)170.000 TL;3.)85.000 TL;4.)42.500 TL;5.)21.250 TL;1.)76.500 TL;2.)30.600 TL;3.)15.300 TL;4.)7.650 TL;5.)3.825 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;HÜKÜM KG K DB;5y a  a;UÇANBEY;RABİA;60;G.KOCAKAYA;NECATİ DEMİRKOL;Z.GÜNELİ;5;%67.79(1);101;2:21.45;1,05;3,5 Boy
2;FIRTINALAR DİYARI KG DB;7y k  a;TAMERİNOĞLU;BEYAZ İNCİ;60;A.ÇELİK;MEHMET SAİT AYALP;R.GÜNELİ;3;%10.22(3);87;2:21.91;7,30;Yarım Boy
3;HAZBALIK KG DB SK;5y k k;BALIKHAN;HAZ;58;A.YILDIZ;FATMA NİLGÜN KUTLU;R.A.TEKELİ;6;%11.15(2);84;2:22.03;7,60;Burun
4;SUBİKE KG DB;9y k k;ARASLI;KUTBİKE;55 +1.70;A.SÖZEN;TÜLAY ÇİFTÇİ;C.POLAT;7;%3.6(4);76;2:22.03;20,00;Boyun
5;EGETAY KG GKR;7y k  a;ALTAHA;AHUBERE;60;E.BOZDAĞ AP;TOLGA ŞAHİN;E.USLU;4;%2.1(7);75;2:22.10;42,00;
6;GUBAZ DB SK;9y a  a;TURBO;GÖKÇEDİL;57;M.KEÇECİ AP;İSRAFİL FELHAN;Ö.GÜNELİ;1;%2.42(6);58;2:22.31;30,60;
7;TATMAR BEY DB SK;6y k  a;EFEM;AHUCEREN;53 +2.00;SER.YILDIZ AP;MURAT TEZER;G.TAŞDELEN;8;%2.45(5);82;2:25.94;28,40;
8;KARAGÖZBEYİ KG K;4y a  a;DURMAZER;AŞK FIRTINASI;55;S.AKBULAT AP;HÜSNÜ KARAGÖZ;B.ŞENGEL;2;%0.28(8);36;2:29.36;75,00;
GANYAN(4) :1,05 TL, İKİLİ(2/4) :2,80 TL, SIRALI İKİLİ(4/2) :3,65 TL

2. Kosu :   17.15;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1400m; Sentetik;;;;Rekor Derece :1.31.22
İkramiye;;;;;Yetiştirici Primi;;;;
